,instantTicketingRequired,nonHomogeneous,oneWay,lastTicketingDate,numberOfBookableSeats,total,base,fareOption,travelerType,cabin,fareBasis,brandedFare,class,carrierCode,number,numberOfStops,departureIataCode,departureAt,aircraftCode,bagageQuantity,arrivalIataCode,arrivalAt
50,False,False,False,2023-04-12,9,278.67,220.00,STANDARD,ADULT,ECONOMY,PWFLX,,P,VY,8247,0,CDG,2023-11-11T18:55:00,320,,BCN,2023-11-11T20:45:00
51,False,False,False,2023-04-14,7,286.35,148.00,STANDARD,ADULT,ECONOMY,W03CLSEH,CLASSIC,W,LH,1051,0,CDG,2023-11-11T07:45:00,321,1.0,FRA,2023-11-11T09:00:00
52,False,False,False,2023-04-12,9,295.67,237.00,STANDARD,ADULT,ECONOMY,JWFLX,,J,VY,8243,0,CDG,2023-11-11T07:00:00,320,,BCN,2023-11-11T08:50:00
53,False,False,False,2023-04-12,9,302.75,237.00,STANDARD,ADULT,ECONOMY,JWFLX,,J,VY,8245,0,CDG,2023-11-11T13:15:00,320,,BCN,2023-11-11T15:10:00
54,False,False,False,2023-04-14,9,305.62,172.00,STANDARD,ADULT,ECONOMY,V03CLSEH,CLASSIC,V,LH,1041,0,CDG,2023-11-11T18:30:00,319,1.0,FRA,2023-11-11T19:45:00
55,False,False,False,2023-04-14,9,305.62,172.00,STANDARD,ADULT,ECONOMY,V03CLSEH,CLASSIC,V,LH,1031,0,CDG,2023-11-11T11:15:00,321,1.0,FRA,2023-11-11T12:30:00
56,False,False,False,2023-04-14,9,305.62,172.00,STANDARD,ADULT,ECONOMY,V03CLSEH,CLASSIC,V,LH,1027,0,CDG,2023-11-11T08:45:00,32A,1.0,FRA,2023-11-11T10:00:00
57,False,False,False,2023-04-14,9,305.62,172.00,STANDARD,ADULT,ECONOMY,V03CLSEH,CLASSIC,V,LH,1051,0,CDG,2023-11-11T07:45:00,321,1.0,FRA,2023-11-11T09:00:00
58,False,False,False,2023-04-12,9,307.75,242.00,STANDARD,ADULT,ECONOMY,PWFLX,,P,VY,8247,0,CDG,2023-11-11T18:55:00,320,,BCN,2023-11-11T20:45:00
59,False,False,False,2023-04-12,9,317.67,259.00,STANDARD,ADULT,ECONOMY,JWFLX,,J,VY,8245,0,CDG,2023-11-11T13:15:00,320,,BCN,2023-11-11T15:10:00
